date,median,var,0.95_low,0.95_high,0.5_low,0.5_high
2021-06-29,0.8532095,Lambda,0.8310461,0.8761033,0.84554285,0.8608176
2021-06-30,0.84895563,Lambda,0.8261633,0.8722065,0.84104455,0.85669756
2021-07-01,0.8448304,Lambda,0.8214315,0.869094,0.8366777,0.85265756
2021-07-02,0.84067464,Lambda,0.81700766,0.8657326,0.8322351,0.84869444
2021-07-03,0.83648515,Lambda,0.8121271,0.8620521,0.82783353,0.84480923
2021-07-04,0.8322155,Lambda,0.80767494,0.8583291,0.8233164,0.84111667
2021-07-05,0.8279692,Lambda,0.802975,0.8547007,0.81899875,0.8371715
2021-07-06,0.8238102,Lambda,0.798418,0.85123205,0.8146287,0.8334738
2021-07-07,0.8196473,Lambda,0.7939493,0.8476074,0.81032646,0.82955694
2021-07-08,0.81567574,Lambda,0.7895062,0.8442106,0.8059631,0.8256297
2021-07-09,0.8117147,Lambda,0.78502053,0.84082586,0.80152553,0.8218589
2021-07-10,0.80774426,Lambda,0.78035516,0.83745086,0.79739857,0.8180251
2021-07-11,0.8036355,Lambda,0.77569515,0.83409214,0.79321706,0.81415355
2021-07-12,0.79948664,Lambda,0.7710555,0.8308258,0.7889578,0.81036186
2021-07-13,0.7955477,Lambda,0.76634616,0.8277787,0.7847585,0.8065264
2021-07-14,0.7915987,Lambda,0.7618553,0.82443976,0.7806719,0.802747
2021-07-15,0.7876278,Lambda,0.7572383,0.8212642,0.77658945,0.7989839
2021-07-16,0.7837857,Lambda,0.75265586,0.81803095,0.77259743,0.79534197
2021-07-17,0.77978915,Lambda,0.7483371,0.81503874,0.76848376,0.79176104
2021-07-18,0.7759024,Lambda,0.7435634,0.8120505,0.76436484,0.7880614
2021-07-19,0.77194375,Lambda,0.7390519,0.8090846,0.76014733,0.7844417
2021-07-20,0.76822376,Lambda,0.73456955,0.8060878,0.75604266,0.78086424
2021-07-21,0.7645515,Lambda,0.7301179,0.8029519,0.7519827,0.77738494
2021-07-22,0.7607566,Lambda,0.72563,0.7998749,0.74784416,0.77377605
2021-07-23,0.76150787,Lambda,0.7277167,0.799367,0.74905694,0.77392983
2021-07-24,0.7623133,Lambda,0.72954893,0.79863214,0.75017285,0.7742063
2021-07-25,0.7632139,Lambda,0.73110914,0.7980401,0.75118804,0.77453566
2021-07-26,0.7638943,Lambda,0.73251027,0.7980155,0.7522088,0.7749527
2021-07-27,0.76459,Lambda,0.7342127,0.7977539,0.7534383,0.7752363
2021-07-28,0.7652046,Lambda,0.7350915,0.79792506,0.7546706,0.7757499
2021-07-29,0.76570755,Lambda,0.7365806,0.79712206,0.7560059,0.7760186
2021-07-30,0.76621175,Lambda,0.7376969,0.796241,0.75730705,0.77673
2021-07-31,0.76699036,Lambda,0.7392248,0.79620886,0.7583852,0.7773936
2021-08-01,0.7675357,Lambda,0.7407999,0.79600835,0.75941163,0.7779061
2021-08-02,0.7684355,Lambda,0.74212164,0.7961923,0.760767,0.7784539
2021-08-03,0.76938576,Lambda,0.7434366,0.7958376,0.7617514,0.7789383
2021-08-04,0.77020174,Lambda,0.74468416,0.79673713,0.7623923,0.77943444
2021-08-05,0.77097464,Lambda,0.74544865,0.7966675,0.76319706,0.7797661
2021-08-06,0.77183855,Lambda,0.74655795,0.7974764,0.7640673,0.7805207
2021-08-07,0.77270746,Lambda,0.747495,0.7980009,0.7648783,0.78137505
2021-08-08,0.7736213,Lambda,0.74853265,0.79861504,0.76557827,0.78196657
2021-08-09,0.77453876,Lambda,0.7493257,0.80007416,0.7662599,0.78282493
2021-08-10,0.77536047,Lambda,0.75050294,0.799858,0.76694477,0.78336173
2021-08-11,0.7761651,Lambda,0.7511565,0.80047154,0.76777947,0.78422683
2021-08-12,0.7770691,Lambda,0.7512812,0.8017313,0.7687118,0.7852437
2021-08-13,0.77784395,Lambda,0.7523402,0.80315095,0.7691742,0.78617716
2021-08-14,0.77848893,Lambda,0.7525961,0.8050104,0.76978,0.7870413
2021-08-15,0.77897954,Lambda,0.75300956,0.80689555,0.77029604,0.78784513
2021-08-16,0.7796705,Lambda,0.75366604,0.80707717,0.77093464,0.78863597
2021-08-17,0.7804147,Lambda,0.75394243,0.8085484,0.77129835,0.7895278
2021-08-18,0.78124315,Lambda,0.75362134,0.8100207,0.771701,0.7905876
2021-08-19,0.7822884,Lambda,0.753428,0.8112192,0.77238667,0.7917513
2021-08-20,0.78311133,Lambda,0.75349665,0.8127841,0.77270913,0.7930516
2021-08-21,0.7841166,Lambda,0.7532031,0.81450653,0.77320933,0.79427457
